collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
4261090,106126,2005,Air Force,Mountain West,New Orleans,2022,194,6,15,Jordan Jackson,Defensive Tackle,77.0,294.0,344.0,25.0,32.0
4379412,105583,61,Georgia,SEC,Los Angeles,2022,195,6,16,Jamaree Salyer,Offensive Guard,75.0,321.0,122.0,7.0,68.0
4362748,106050,142,Missouri,SEC,Baltimore,2022,196,6,18,Tyler Badie,Running Back,68.0,197.0,218.0,17.0,51.0
4400960,105945,2888,Ouachita Baptist,Great American,Jacksonville,2022,197,6,19,Gregory Junior,Cornerback,,,366.0,45.0,30.0
4241374,105920,2567,SMU,American Athletic,Philadelphia,2022,198,6,20,Grant Calcaterra,Tight End,76.0,241.0,282.0,16.0,42.0
4361788,105637,2633,Tennessee,SEC,Carolina,2022,199,6,21,Cade Mays,Offensive Guard,77.0,311.0,211.0,17.0,52.0
4077786,106249,138,Northwest Missouri State,Mid America,New England,2022,200,6,22,Sam Roberts,Defensive Tackle,77.0,292.0,,,
4362087,105999,30,USC,Pac-12,Arizona,2022,201,6,23,Keaontay Ingram,Running Back,72.0,221.0,242.0,21.0,47.0
4360174,106250,201,Oklahoma,Big 12,Cleveland,2022,202,6,24,Michael Woods II,Wide Receiver,73.0,198.0,,,
4259169,106239,239,Baylor,Big 12,Chicago,2022,203,6,25,Trestan Ebner,Running Back,71.0,206.0,334.0,31.0,34.0
4242436,106251,2633,Tennessee,SEC,Tennessee,2022,204,6,26,Theo Jackson,Safety,74.0,203.0,,,
4242229,105461,99,LSU,SEC,Houston,2022,205,6,27,Austin Deculus,Offensive Tackle,77.0,321.0,289.0,24.0,40.0
4242358,105900,275,Wisconsin,Big Ten,Denver,2022,206,6,28,Matt Henningsen,Defensive Tackle,75.0,289.0,269.0,18.0,43.0
4047178,105744,356,Illinois,Big Ten,Chicago,2022,207,6,29,Doug Kramer,Center,,,275.0,9.0,43.0
4241961,106053,127,Michigan State,Big Ten,Pittsburgh,2022,208,6,30,Connor Heyward,Fullback,71.0,233.0,247.0,1.0,46.0
4361979,106081,259,Virginia Tech,ACC,Buffalo,2022,209,6,31,Luke Tenuta,Offensive Tackle,80.0,319.0,307.0,26.0,38.0
4362642,105943,99,LSU,SEC,New England,2022,210,6,32,Chasen Hines,Offensive Guard,75.0,327.0,280.0,23.0,42.0
4249128,105654,26,UCLA,Pac-12,Los Angeles,2022,211,6,33,Quentin Lake,Safety,73.0,201.0,277.0,23.0,42.0
4360307,105616,61,Georgia,SEC,Los Angeles,2022,212,6,34,Derion Kendrick,Cornerback,72.0,194.0,246.0,31.0,46.0
4379401,105911,61,Georgia,SEC,Atlanta,2022,213,6,35,John FitzPatrick,Tight End,79.0,262.0,305.0,19.0,38.0
4240434,106252,154,Wake Forest,ACC,Los Angeles,2022,214,6,36,Ja'Sir Taylor,Cornerback,70.0,185.0,,,
4260223,105898,259,Virginia Tech,ACC,Arizona,2022,215,6,37,Lecitus Smith,Offensive Guard,75.0,314.0,171.0,13.0,58.0
