title,description,date
THREE AFTERNOON GAMES TO OPEN SEASON,"Ohio State will begin the season with a 3:30 p.m. game vs. Indiana on CBS, a noon game against Youngstown State on BTN and a 4 p.m. game vs. Western Kentucky on FOX.","31 May 2023
by Dan Hope
42 COMMENTS"
AFTERLIFE,This era of one-dimensional Buckeye football should end in 2023.,"31 May 2023
by Ramzy Nasrallah
52 COMMENTS"
WHAT WE HEARD FROM ASSISTANT COACHES,"We discuss what stood out to us during Tuesday’s interviews with Ohio State’s assistant coaches, including praise for C.J. Hicks and Sonny Styles and offensive line discussion.","31 May 2023
by Dan Hope and Griffin Strom
2 COMMENTS"
MICKENS IS MARION COUNTY ATHLETE OF YEAR,Incoming Ohio State freshman defensive lineman Joshua Mickens earns one of the top awards for Indianapolis-area high school athletes.,"31 May 2023
by Griffin Strom
2 COMMENTS"
HENRY’S RETURN “WAY DOWN THE ROAD”,Justin Frye said he has not yet discussed a return to football with Avery Henry following his cancer battle but that keeping him involved with the team is a “top priority.”,"31 May 2023
by Dan Hope
10 COMMENTS"
"KNOWLES SAYS HICKS WILL ""UNLEASH"" IN 2023","Jim Knowles says C.J. Hicks is ""just on the cusp of breaking out"" and will look to find a role for him in 2023, whether it's at Will linebacker or at the hybrid Jack position.","31 May 2023
by Griffin Strom
48 COMMENTS"
UPDATES FROM OSU’S DEFENSIVE COACHES,"Tim Walton said he's been impressed with Lorenzo Styles Jr. so far, Larry Johnson hopes Tywone Malone can bring depth for OSU and Jim Knowles praised C.J. Hicks.","30 May 2023
by Chase Brown, Garrick Hodge, Dan Hope and Griffin Strom
26 COMMENTS"
UPDATES FROM OSU’S OFFENSIVE COACHES,"Brian Hartline isn’t taking his responsibility as OC lightly, Corey Dennis says the QB competition remains open and Justin Frye is looking for “the five best” up front.","30 May 2023
by Chase Brown, Garrick Hodge, Dan Hope and Griffin Strom
14 COMMENTS"
UPDATES FROM MAROTTI AND FLEMING,Mickey Marotti says Ohio State analyzes every year what it can do better to prevent injuries and Parker Fleming feels the kicker competition is “in a good place.”,"30 May 2023
by Dan Hope
6 COMMENTS"
UTV ACCIDENT “A LEARNING OPPORTUNITY”,"Brian Hartline addressed his April UTV accident on Tuesday and says “in hindsight, I probably would’ve rather went to bed than rode in a side-by-side.”","30 May 2023
by Griffin Strom
58 COMMENTS"
BUCKEYES 3RD IN NATIONAL TITLE ODDS,"Ohio State has the third-best odds to win the national championship, slightly better odds than Michigan to win the Big Ten and an over/under of 10.5 regular-season wins.","30 May 2023
by Dan Hope
37 COMMENTS"
HOW DEFENSES FARE IN YEAR 2 UNDER KNOWLES,"Defensive improvements under Jim Knowles haven’t always been night and day between his first two seasons at previous stops, but OSU is on the right trajectory ahead of 2023.","30 May 2023
by Griffin Strom
80 COMMENTS"
"HICKS, POWERS SHOWING LB FUTURE IS BRIGHT","Even if they don't factor heavily into the rotation this season, C.J. Hicks and Gabe Powers showed Ohio State’s future at linebacker is bright with standout performances this...","29 May 2023
by Griffin Strom
32 COMMENTS"
CURRY WORKING TO GET SPEED BACK,"Caden Curry felt like he lost some speed after gaining 15 pounds as a freshman, but he was feeling “looser and faster” this spring as he tracks toward a bigger role as a...","29 May 2023
by Dan Hope
19 COMMENTS"
JAHSEN WINT TO RESUME CAREER AT MARSHALL,"Former Ohio State safety Jahsen Wint announces he will transfer to Marshall, where he plans to resume his college football career three years after his Ohio State career ended.","28 May 2023
by Dan Hope
19 COMMENTS"
ADDRESSABLE MARKET,We all know the most important stats in football but sub-metrics that feed into those biggies can hold root cause. Here are five statistical areas OSU could stand to improve this...,"28 May 2023
by Chris Lauderback
71 COMMENTS"
FOURTH YEAR CRUCIAL FOR FLEMING'S FUTURE,"Julian Fleming may be overshadowed by Marvin Harrison Jr. and Emeka Egbuka, but Brian Hartline and Jaxon Smith-Njigba expect big things from him in 2023.","27 May 2023
by Griffin Strom
37 COMMENTS"
RIEP TO RESUME COLLEGE FOOTBALL CAREER,"Former Ohio State defensive back Amir Riep is resuming his college football career at Lincoln University, three years after his Buckeye career ended.","26 May 2023
by Dan Hope
52 COMMENTS"
CONSISTENCY THE NEXT STEP FOR JT,Larry Johnson thinks refining the small details of his skill set will allow JT Tuimoloau to become consistently elite in 2023 after flashing superstar potential last season.,"26 May 2023
by Griffin Strom
27 COMMENTS"
BEAUTIFUL DETRITUS,"Even in an inconsequential nonconference win, the mountain of random stuff generated by a single Ohio State home game is absolutely beautiful.","26 May 2023
by Johnny Ginter
21 COMMENTS"
HOW DAY COMPARES TO PAST OSU COACHES,"Ryan Day has the second-best win percentage and most outright Big Ten titles in his first four years as Ohio State’s head coach, but hasn’t had the same success vs. Michigan.","26 May 2023
by Dan Hope
106 COMMENTS"
WILL SMITH JR.,Will Smith Jr. looks to continue his father’s legacy and develop into an impact player on Ohio State’s defensive line.,"25 May 2023
by Josh Poloha
14 COMMENTS"
NIGHT GAME AT NOTRE DAME,Ohio State’s Sept. 23 road game at Notre Dame will kick off at 7:30 p.m. and will be televised by NBC.,"24 May 2023
by Dan Hope
64 COMMENTS"
"PAYOUTS FOR MARSHALL, NEVADA, CHARLOTTE",Ohio State will pay $1.6 million to Marshall in 2024 and $1.8 million to both Nevada and Charlotte in 2029 for future games at Ohio Stadium announced earlier this month.,"24 May 2023
by Dan Hope
33 COMMENTS"
ANALYZING EARLY BETTING LINES FOR OSU,We take a look at the game lines and futures lines relative to Ohio State that have been released so far and identify which bets we’d be most (and least) inclined to make.,"24 May 2023
by Dan Hope and Griffin Strom
1 COMMENT"
