title,description,date
8 BUCKEYES SIDELINED FOR SPRING PRACTICE,"Emeka Egbuka, Tommy Eichenberg and Julian Fleming are among several Buckeyes set to miss spring practices due to injuries.","01 Feb 2023
by Chase Brown
28 COMMENTS"
DAY HOPES TO NAME STARTER BY END OF SPRING,Ryan Day hopes Kyle McCord or Devin Brown will emerge as C.J. Stroud's successor under center by the end of Ohio State's spring practice schedule.,"01 Feb 2023
by Griffin Strom
25 COMMENTS"
DAY VOICES DISSENT ON NON-TARGETING CALL,Ryan Day spoke with officials following the non-targeting call that knocked Marvin Harrison Jr. out of the Peach Bowl and said “I completely disagree” with their explanations.,"01 Feb 2023
by Griffin Strom
118 COMMENTS"
"""THE GEORGIA LOSS IS MOTIVATING""","On a quiet National Signing Day for the Buckeye football program, Ryan Day, Jim Knowles and Brian Hartline took to the airwaves to discuss Ohio State's plans for the offseason.","01 Feb 2023
by Chase Brown
47 COMMENTS"
BLUE RUIN,"Prior to the Peach Bowl, the Buckeye offense appeared hesitant to be the best version of itself. The key to continuing how it played in Atlanta is letting go of the past.","01 Feb 2023
by Ramzy Nasrallah
44 COMMENTS"
"LAURINAITIS RETURNS, BBALL STRUGGLES","We discuss the impact of James Laurinaitis’ return, the state of Ohio State basketball after a 2-7 January and the addition of transfer cornerback Davison Igbinosun.","01 Feb 2023
by Dan Hope and Griffin Strom"
"DAY ON PLAY-CALLING DUTIES, QB BATTLE, NIL","Ryan Day will let Brian Hartline call plays on offense during the spring, expects a ""heck of a competition"" at quarterback and is optimistic about the future of NIL at OSU.","01 Feb 2023
by Griffin Strom
85 COMMENTS"
"FRIDAY, GAOTEOTE WON’T RETURN FOR YEAR SIX",Ryan Day confirmed Wednesday that Tyler Friday and Palaie Gaoteote IV will not return to Ohio State for their sixth year of eligibility.,"01 Feb 2023
by Dan Hope
43 COMMENTS"
JONES MAKING BIG IMPRESSION AT SENIOR BOWL,"From his record-setting weigh-in to dominant one-on-one reps on the first day of practice, Dawand Jones is making a big early impression at the Senior Bowl.","31 Jan 2023
by Dan Hope
16 COMMENTS"
BUCKEYES LAND TRANSFER CB IGBINOSUN,Ohio State lands the top remaining player in the transfer portal as former Ole Miss cornerback Davison Igbinosun announces his commitment to the Buckeyes.,"31 Jan 2023
by Dan Hope
203 COMMENTS"
HEYWARD NAMED TO PRO BOWL GAMES,"Former Buckeye and current Pittsburgh Steelers defensive lineman Cameron Heyward was named to the Pro Bowl Games, replacing Chris Jones of the Kansas City Chiefs.","31 Jan 2023
by Chase Brown
5 COMMENTS"
OSU’S TOP 10 QBS OF THE 21ST CENTURY,"How does C.J. Stroud compare to Justin Fields, Troy Smith and Ohio State’s other quarterback greats of the 21st century? We rank the 10 best.","31 Jan 2023
by Dan Hope
119 COMMENTS"
"TYLEIK LOOKS TO GET FASTER, MORE PHYSICAL","After playing a full season “in college shape” for the first time in 2022, Tyleik Williams still wants to get “faster and more physical” to make a bigger impact in 2023.","30 Jan 2023
by Griffin Strom
28 COMMENTS"
SERMON IS LAST BUCKEYE STANDING,Trey Sermon is the only former Ohio State player advancing to the Super Bowl after the Cincinnati Bengals and San Francisco 49ers fell in their conference championship games.,"30 Jan 2023
by Dan Hope
21 COMMENTS"
JONES BREAKS SENIOR BOWL WINGSPAN RECORD,"Former Ohio State offensive tackle Dawand Jones measured in at the Senior Bowl with a wingspan of 89 1/2 inches, the longest ever for a Senior Bowl participant.","29 Jan 2023
by Dan Hope
28 COMMENTS"
STOKES “LIGHT YEARS BETTER” AFTER YEAR ONE,Kye Stokes learned the importance of the mental side of the game during his freshman season and says he's “taken great leaps and bounds” since he arrived at OSU a year ago.,"28 Jan 2023
by Dan Hope
29 COMMENTS"
LAURINAITIS RETURNING TO OHIO STATE AS GA,Former Ohio State linebacker James Laurinaitis is rejoining the Buckeyes as a defensive graduate assistant after one year in the same role at Notre Dame.,"27 Jan 2023
by Dan Hope
192 COMMENTS"
7 BUCKEYES NAMED IN PFF'S TOP 101 FOR 2022,Marvin Harrison Jr. and C.J. Stroud headlined a list of seven Buckeyes named Pro Football Focus' Top 101 players from the 2022 college football season.,"27 Jan 2023
by Chase Brown
7 COMMENTS"
DISPATCHES FROM THE FUTURE,"Approximately 18 years ago, I got very angry about the prospect of a college football player getting 500 bucks from a booster. Let's see if we can shift my perspective.","27 Jan 2023
by Johnny Ginter
18 COMMENTS"
SCOTT TRUSTS HE’S ON RIGHT PATH AT OSU,"Gee Scott Jr. played 85 more snaps in 2022 than he did in 2021, and although he didn't have a major role in the OSU offense, he says there's ""nowhere else"" he'd rather be.","27 Jan 2023
by Griffin Strom
51 COMMENTS"
TRUTH VS. FICTION FROM KNOWLES' FIRST YEAR,"The Buckeye defense faltered at the worst possible time in 2022, leading some to question whether the veteran coordinator is up to the task. Film Study tries to shed some light on...","26 Jan 2023
by Kyle Jones
191 COMMENTS"
ROYER SEEKS BIGGER ROLE AFTER TOUGH 2022,"Joe Royer had a tough year both on and off the field in 2022, but increased playing time in the College Football Playoff could serve as a springboard to a bigger role in 2023.","26 Jan 2023
by Dan Hope
29 COMMENTS"
THE GLASS CASTLE,It is possible to win the College Football Playoff starting a 3rd string QB and a converted 5th year senior defensive end at RT. Ohio State already proved it.,"25 Jan 2023
by Ramzy Nasrallah
55 COMMENTS"
“I'M A RYAN DAY FAN”,Jim Tressel believes the future of Ohio State football is in good hands with Ryan Day as its head coach.,"25 Jan 2023
by Chase Brown
79 COMMENTS"
"BOSA, WILSON FINALISTS FOR AP NFL AWARDS",Nick Bosa is named a finalist for the AP's NFL Defensive Player of the Year award and Garrett Wilson is a finalist for Offensive Rookie of the Year.,"25 Jan 2023
by Griffin Strom
11 COMMENTS"
2ND-YEAR BUCKEYES WHO COULD BREAK OUT,"We look at year one for Ohio State’s 2022 class and which members of that class could break out in 2023, plus discuss the addition of Victor Cutler and return of Josh Proctor.","25 Jan 2023
by Dan Hope and Griffin Strom
6 COMMENTS"
SPRING PRACTICE STARTING MARCH 7,Ohio State will begin spring practice on March 7 and culminate its spring football season with the April 15 spring game.,"24 Jan 2023
by Dan Hope
16 COMMENTS"
"WILSON, OLAVE NAMED PFWA ALL-ROOKIES","The Pro Football Writers of America named Garrett Wilson its 2022 Offensive Rookie of the Year, as both Wilson and Chris Olave earned All-Rookie recognition.","24 Jan 2023
by Chase Brown
17 COMMENTS"
STYLES GLAD HE RECLASSIFIED,Sonny Styles thinks the experience he gained in 2022 is “really gonna help” him as he competes for a starting job in 2023.,"24 Jan 2023
by Dan Hope
71 COMMENTS"
APPLE HELPS SECURE BIG WIN FOR BENGALS,Eli Apple’s fourth-down pass breakup helped the Cincinnati Bengals seal a win over the Buffalo Bills as seven total Buckeyes were winners in the divisional round of the playoffs.,"23 Jan 2023
by Dan Hope
48 COMMENTS"
JOB ONE: STAY HEALTHY,TreVeyon Henderson and Miyan Williams racked up a combined seven DNPs and played hurt in a combined six other contests last season. That's not a winning formula for 2023.,"22 Jan 2023
by Chris Lauderback
63 COMMENTS"
POTENTIAL DESTINATIONS FOR STROUD,"We take a look at the most likely landing spots for C.J. Stroud in the 2023 NFL draft, including the Texans, Colts, Raiders, Falcons, Panthers and Titans.","21 Jan 2023
by Dan Hope
42 COMMENTS"
PROCTOR RETURNING FOR SIXTH YEAR,"Ohio State safety Josh Proctor is returning to the Buckeyes for his sixth year of eligibility, safeties coach Perry Eliano told the Columbus Dispatch on Friday.","20 Jan 2023
by Dan Hope
118 COMMENTS"
FRYAR PRIMED TO STEP INTO STARTING ROLE,Josh Fryar is “most comfortable” at tackle but played most of the first-team snaps at right guard against Michigan and says he can even play center if needed.,"20 Jan 2023
by Griffin Strom
38 COMMENTS"
OSU’S 2023 NFL DRAFT PROSPECT BREAKDOWN,"C.J. Stroud, Paris Johnson Jr. and Jaxon Smith-Njigba are projected first-round picks while at least 11 other Buckeyes will also be going through the NFL draft process.","20 Jan 2023
by Dan Hope
31 COMMENTS"
SPRING GAME SET FOR APRIL 15,Ohio State’s 2023 spring game at Ohio Stadium is scheduled for April 15. Tickets will go on sale Feb. 10.,"19 Jan 2023
by Dan Hope
45 COMMENTS"
3 BUCKEYES IN TOP-20 ODDS FOR 2023 HEISMAN,"Ohio State’s Kyle McCord, TreVeyon Henderson and Marvin Harrison Jr. are among the top 20 way-too-early odds to win the 2023 Heisman Trophy.","19 Jan 2023
by Josh Poloha
63 COMMENTS"
CUTLER EXCITED TO BE DEVELOPED BY FRYE,Victor Cutler will compete for Ohio State’s starting center job and says he chose Ohio State because he believes Justin Frye will “coach me to be the best version of me.”,"19 Jan 2023
by Dan Hope
63 COMMENTS"
BUCKEYES ADD TRANSFER OFFENSIVE LINEMAN,"Former Louisiana-Monroe offensive lineman Victor Cutler, who started at left tackle for the Warhawks in 2022, is transferring to Ohio State.","18 Jan 2023
by Dan Hope
140 COMMENTS"
LOST CIVILIZATION,"Ohio State's offense is barely recognizable from how it used to look way back in oh, you know, 2016.","18 Jan 2023
by Ramzy Nasrallah
65 COMMENTS"
"2023 DRAFT CLASS, DECISION IMPACTS","We take a look at Ohio State’s 2023 NFL draft class and the impact of several players’ draft decisions, starting with C.J. Stroud’s departure and the upcoming battle to...","18 Jan 2023
by Dan Hope and Griffin Strom
6 COMMENTS"
MCCALISTER HAPPY HE SPENT YEAR AS BUCKEYE,Tanner McCalister believes playing for Ohio State bolstered his chances of being drafted and says fans should be “real confident” about the future of Jim Knowles’ defense.,"18 Jan 2023
by Dan Hope
17 COMMENTS"
"OLAVE, WILSON FINALISTS FOR NFL ROY",Former Ohio State wide receivers Chris Olave and Garrett Wilson are two of the six finalists for the NFL Rookie of the Year award.,"17 Jan 2023
by Garrick Hodge
22 COMMENTS"
BUCKEYES ADD TRANSFER QUARTERBACK,Ohio State adds depth at quarterback as former Oregon State signal-caller Tristan Gebbia is transferring to the Buckeyes.,"17 Jan 2023
by Dan Hope
154 COMMENTS"
BABB WON’T RETURN FOR FINAL YEAR,Kamryn Babb announces he's starting “the next chapter” and won't return to Ohio State for his final year of college eligibility in 2023.,"17 Jan 2023
by Griffin Strom
72 COMMENTS"
"HUBBARD, BOSA MAKE KEY PLAYS IN WILD CARD","Sam Hubbard made the play of wild card weekend, Nick Bosa also made a key fumble recovery and Joey Bosa and J.K. Dobbins expressed frustration after playoff losses.","17 Jan 2023
by Dan Hope
28 COMMENTS"
LET THE BATTLE BEGIN,C.J. Stroud’s NFL draft declaration clears the way for Kyle McCord and Devin Brown to battle to be Ohio State’s next starting quarterback.,"16 Jan 2023
by Griffin Strom
109 COMMENTS"
“BE GREAT 7”,Current and former Buckeyes congratulated C.J. Stroud on Twitter after the star quarterback declared for the NFL draft on Monday.,"16 Jan 2023
by Chase Brown
28 COMMENTS"
RANSOM STAYING FOR SENIOR SEASON,Lathan Ransom is returning to Ohio State for his senior season to lead the Buckeyes’ safeties in 2023.,"16 Jan 2023
by Dan Hope
109 COMMENTS"
STROUD DECLARES FOR NFL DRAFT,"C.J. Stroud’s Ohio State career is officially over as he declares for the 2023 NFL draft, in which he’s projected to be a top-10 pick.","16 Jan 2023
by Dan Hope
184 COMMENTS"
HICKS TOOK TEAM-FIRST APPROACH AS FRESHMAN,C.J. Hicks didn’t play at all on defense as a true freshman but embraced the opportunity to play on special teams and help Ohio State any way he could.,"16 Jan 2023
by Dan Hope
53 COMMENTS"
HOW LAST YEAR’S EARLY ENROLLEES FARED,"With 11 new early enrollees now on campus at Ohio State, we look back at how last year's group fared as true freshmen in 2022.","16 Jan 2023
by Griffin Strom
12 COMMENTS"
HUBBARD BREAKS NFL RECORD WITH 98-YARD TD,Sam Hubbard sets an NFL playoff record with a 98-yard fumble return touchdown that led the Cincinnati Bengals to a 24-17 win over the Baltimore Ravens.,"15 Jan 2023
by Dan Hope
78 COMMENTS"
HICKMAN TO PLAY IN SENIOR BOWL,"Ronnie Hickman becomes the third Ohio State player to accept an invitation to the 2023 Senior Bowl, joining Zach Harrison and Dawand Jones.","15 Jan 2023
by Dan Hope
11 COMMENTS"
CAGE EARNS SHRINE BOWL INVITATION,Former Ohio State defensive tackle Jerron Cage received an invitation to the East-West Shrine Bowl after practicing in front of NFL scouts this week at the Hula Bowl.,"14 Jan 2023
by Dan Hope
12 COMMENTS"
MASON ARNOLD TRANSFERS TO MICHIGAN STATE,"Mason Arnold, who started Ohio State’s final six games of the 2022 season at long snapper, is transferring to Michigan State.","14 Jan 2023
by Dan Hope
45 COMMENTS"
MICHALSKI READY TO COMPETE,Zen Michalski says he’s “going to do my absolute best to put in all the work I can put in and wait for the results” as he competes for a starting offensive tackle job this...,"14 Jan 2023
by Dan Hope
45 COMMENTS"
BRIAN HARTLINE PROMOTED TO OC,"Brian Hartline continues his rise up the coaching ladder at Ohio State as he is promoted to offensive coordinator, a role in which he’ll replace Kevin Wilson.","13 Jan 2023
by Dan Hope
339 COMMENTS"
BOSA NAMED AP FIRST-TEAM ALL-PRO,Nick Bosa earns first-team All-Pro honors from the Associated Press amid a season in which he is a favorite to win the NFL's Defensive Player of the Year award.,"13 Jan 2023
by Chase Brown
8 COMMENTS"
JEAN-BAPTISTE TO NOTRE DAME,"Former Ohio State defensive end Javontae Jean-Baptiste is transferring to Notre Dame, which means he’ll play against the Buckeyes in September.","13 Jan 2023
by Dan Hope
93 COMMENTS"
WAIT WELL WORTH IT FOR KEENAN BAILEY,"Keenan Bailey turned down opportunities to become a full-time coach sooner to stay at Ohio State, and he’s glad he did now that he’s the Buckeyes’ new tight ends coach.","13 Jan 2023
by Dan Hope
27 COMMENTS"
EICHENBERG RETURNING TO OHIO STATE IN 2023,"After an All-American season in 2022, Tommy Eichenberg announces he will return to Ohio State next year.","12 Jan 2023
by Chase Brown
156 COMMENTS"
HOW COACHES RANKED OHIO STATE IN LAST POLL,"We rounded up where all 63 Coaches Poll voters ranked Ohio State in the final poll of 2022, ranging from nine second-place votes to Dino Babers putting the Buckeyes seventh.","11 Jan 2023
by Chase Brown
97 COMMENTS"
BIG QUESTIONS ON OFFENSIVE LINE,"The exodus of Paris Johnson Jr., Luke Wypler and Dawand Jones makes Ohio State’s offensive line its biggest question mark of any position group as the 2023 offseason begins.","11 Jan 2023
by Dan Hope
110 COMMENTS"
IN HIS SHOES,"The Buckeyes will have to replace a quarterback who averaged 325 passing yards per start, yet still left many fans wanting more.","11 Jan 2023
by Ramzy Nasrallah
115 COMMENTS"
2023 ROSTER OUTLOOK,"We dive into how Ohio State’s 2023 roster is stacking up at every position amid NFL draft decisions, transfer portal movement and the arrival of a new freshman class.","11 Jan 2023
by Dan Hope and Griffin Strom
13 COMMENTS"
BOSA NAMED TO PLAYERS' ALL-PRO TEAM,Former Ohio State defensive end Nick Bosa was named to the first-ever NFL Players' All-Pro Team amid a dominant season with the San Francisco 49ers.,"11 Jan 2023
by Chase Brown
22 COMMENTS"
MATT JONES RETURNING TO OHIO STATE,Matt Jones has elected to use his final year of eligibility and will return to Ohio State for the 2023 season.,"11 Jan 2023
by Garrick Hodge
90 COMMENTS"
WYPLER DECLARES FOR NFL DRAFT,"After two years as Ohio State's starting center, Luke Wypler will turn pro as he announces his intentions to declare for the 2023 NFL draft.","10 Jan 2023
by Griffin Strom
169 COMMENTS"
HENRY BEGINS CHEMOTHERAPY TREATMENT,Ohio State offensive lineman Avery Henry started chemotherapy for osteosarcoma on Tuesday and says he feels “great and ready.”,"10 Jan 2023
by Chase Brown
28 COMMENTS"
OHIO STATE'S WAY-TOO-EARLY TOP 25 RANKINGS,"With questions surrounding Ohio State heading into 2023, the Buckeyes received mixed reviews in way-too-early top 25 polls.","10 Jan 2023
by Chase Brown
64 COMMENTS"
PARIS TURNING PRO,Paris Johnson Jr. announces his intentions to declare for the 2023 NFL draft following three seasons at Ohio State.,"10 Jan 2023
by Griffin Strom
89 COMMENTS"
BUCKEYES 4TH IN FINAL AP POLL,"Ohio State finishes fourth in the final AP Top 25 of the 2022 season, marking the ninth straight year the Buckeyes have made the top six of the final rankings.","10 Jan 2023
by Dan Hope
125 COMMENTS"
WHAT COULD HAVE BEEN,Ohio State’s one-point loss to Georgia in the Peach Bowl became even more painful Monday night as the Buckeyes watched the Bulldogs win the national title game easily.,"09 Jan 2023
by Dan Hope
189 COMMENTS"
XAVIER JOHNSON RETURNING FOR SIXTH YEAR,Ohio State wide receiver/running back Xavier Johnson indicated he is returning for a sixth year at Ohio State in an Instagram post Monday.,"09 Jan 2023
by Dan Hope
74 COMMENTS"
"MCCALISTER, CAGE TO PLAY IN HULA BOWL","Former Ohio State safety Tanner McCalister and defensive tackle Jerron Cage will play in this weekend’s Hula Bowl, an all-star game for NFL draft prospects.","09 Jan 2023
by Dan Hope
8 COMMENTS"
A LOOK AT OHIO STATE’S EARLY ENROLLEES,We take a look at all 11 members of Ohio State’s 2023 recruiting class who are enrolling early in Columbus and participating in spring football this year.,"09 Jan 2023
by Garrick Hodge
35 COMMENTS"
STOVER TO RETURN TO OSU NEXT YEAR,Cade Stover will return to Ohio State for another season after having success as a starter in 2022.,"09 Jan 2023
by Garrick Hodge
153 COMMENTS"
INJURY-PLAGUED OFFENSE CREATES WHAT IF’S,"The absence of JSN and TreVeyon Henderson and injuries to Marvin Harrison Jr., Miyan Williams and Cade Stover all impacted the Buckeye offense by the end of the Peach Bowl.","09 Jan 2023
by Griffin Strom
50 COMMENTS"
"HEYWARD DOMINATES, BOSA SECURES SACK TITLE","Cameron Heyward had a big game, Chris Olave and Garrett Wilson made history and Nick Bosa secured the sack title in the final week of the NFL’s 2022-23 regular season.","09 Jan 2023
by Dan Hope
15 COMMENTS"
JK JOHNSON TRANSFERRING TO LSU,"Former Ohio State cornerback JK Johnson is transferring to LSU, becoming the second Buckeye cornerback in as many years to take his talents to Baton Rouge.","08 Jan 2023
by Dan Hope
42 COMMENTS"
JAYLEN JOHNSON TRANSFERRING TO MEMPHIS,"Former Ohio State safety Jaylen Johnson is transferring to Memphis, where he’ll reunite with former Ohio State safeties coach Matt Barnes.","08 Jan 2023
by Dan Hope
24 COMMENTS"
"OLAVE, WILSON BOTH 1,000-YARD ROOKIES","Chris Olave and Garrett Wilson are the first pair of rookies from the same college to top 1,000 receiving yards in the same NFL season.","08 Jan 2023
by Dan Hope
24 COMMENTS"
"BIG PLAYS, BIG PROBLEM","Ohio State ranked No. 115 out of 131 teams, giving up 18 plays of 40 yards or longer in 2022. The numbers get worse when looking at 50, 60 and 70-yards plays allowed.","08 Jan 2023
by Chris Lauderback
143 COMMENTS"
"INNISS, TATE, KIENHOLZ SHINE IN AA BOWL",Brandon Inniss and Carnell Tate both caught touchdown passes and Lincoln Kienholz threw two touchdown passes as seven Ohio State signees played in the All-American Bowl.,"07 Jan 2023
by Dan Hope
26 COMMENTS"
PEACH BOWL MADE MATHEWS LOVE OSU EVEN MORE,Incoming freshman cornerback Jermaine Mathews became even more excited to begin his Ohio State career after joining the Buckeyes in Atlanta for the Peach Bowl.,"07 Jan 2023
by Dan Hope
34 COMMENTS"
INSIDE KIENHOLZ’S JOURNEY TO OHIO STATE,Lincoln Kienholz’s competitiveness and dual-threat skill set impressed coaches throughout his high school career and earned him the chance to play quarterback at Ohio State.,"06 Jan 2023
by Garrick Hodge
55 COMMENTS"
FIVE BIGGEST QUESTIONS ENTERING 2023,"The new starting quarterback, whether Jim Knowles’ defense can become elite and how Ohio State will rebuild its offensive line are among the top questions entering 2023.","06 Jan 2023
by Dan Hope
207 COMMENTS"
MIYAN RETURNING FOR 2023 SEASON,"After hinting at his return in multiple social media posts, Miyan Williams confirms to the Columbus Dispatch that he'll be back with the Buckeyes next season.","05 Jan 2023
by Griffin Strom
199 COMMENTS"
"SNAP COUNTS FOR PEACH BOWL, 2022 SEASON","Paris Johnson Jr., Donovan Jackson, Luke Wypler and C.J. Stroud led Ohio State with more than 800 snaps while seven other Buckeyes played over 700 snaps this year.","05 Jan 2023
by Dan Hope
31 COMMENTS"
PEACH BOWL/SEASON IN REVIEW,We assess what went wrong and what positives Ohio State can take away from its loss to Georgia and evaluate how the Buckeyes’ 2022 season grades out as a whole.,"04 Jan 2023
by Dan Hope and Griffin Strom
7 COMMENTS"
JA’HAD CARTER TRANSFERRING TO OSU,"Ohio State lands a transfer commitment from former Syracuse safety Ja’Had Carter, who is ranked by 247Sports as the top safety in the transfer portal.","03 Jan 2023
by Dan Hope
177 COMMENTS"
JK JOHNSON ENTERS TRANSFER PORTAL,"JK Johnson, who started five games at cornerback for the Buckeyes during the 2022 season, enters the transfer portal after two years at Ohio State.","03 Jan 2023
by Dan Hope
129 COMMENTS"
RUGGLES’ MOTHER THANKS BUCKEYE FANS,Noah Ruggles' mother expresses her gratitude to Ohio State fans for their “overwhelming support” and said her son “takes full responsibility” for his missed field goal.,"03 Jan 2023
by Garrick Hodge
94 COMMENTS"
"SUPPORT FOR HAMLIN, LATTIMORE PICK-6",Current and former Buckeyes sent their prayers to Buffalo Bills safety Damar Hamlin while Marshon Lattimore’s pick-six was among the NFL’s Week 17 highlights.,"03 Jan 2023
by Dan Hope
9 COMMENTS"
"C.J., KNOWLES, UM, TCU","C.J. Stroud saves his gutsiest performance for last, Jim Knowles' defense surrenders another offensive explosion and TCU stomps out Michigan's national title hopes.","03 Jan 2023
by Griffin Strom
195 COMMENTS"
JJB ENTERS TRANSFER PORTAL,Javontae Jean-Baptiste is looking to finish his college football career in a different uniform after recording four sacks and 4.5 tackles for loss as a fifth-year senior.,"02 Jan 2023
by Griffin Strom
114 COMMENTS"
TERADJA MITCHELL TRANSFERS TO FLORIDA,Teradja Mitchell is transferring to Florida for his final season of college football after five years as an Ohio State linebacker.,"02 Jan 2023
by Dan Hope
37 COMMENTS"
DAY COULD GIVE UP PLAY CALLING,ESPN’s Kirk Herbstreit said Ryan Day is weighing giving up offensive playcalling duties in 2023 so he can focus more on his other responsibilities as Ohio State’s head coach.,"02 Jan 2023
by Dan Hope
112 COMMENTS"
FAKE PUNT THAT COULD HAVE BEEN PT. 2,Ohio State had 12 players on the field for its fake punt that was negated by a timeout call from Georgia head coach Kirby Smart.,"02 Jan 2023
by Chase Brown
58 COMMENTS"
A GAME OF INCHES,Several close calls and bad breaks for the Buckeyes could have been the difference in Ohio State getting over the hump for a berth in the national championship game.,"02 Jan 2023
by Griffin Strom
154 COMMENTS"
STROUD SHOWS GREATNESS DESPITE DEFEAT,"C.J. Stroud bolstered his legacy in his expected final game as a Buckeye, throwing for 348 yards and four touchdowns and making big plays with his legs down the stretch.","02 Jan 2023
by Dan Hope
67 COMMENTS"
PEACH BOWL,Dallan Hayden started at running back and Sonny Styles played 12 snaps on defense to lead Ohio State’s freshman class in the final game of the season against Georgia.,"01 Jan 2023
by Matt Gutridge
16 COMMENTS"
MASON ARNOLD ENTERS TRANSFER PORTAL,"Less than 24 hours after Ohio State's loss to Georgia in the Peach Bowl, long snapper Mason Arnold has entered the transfer portal.","01 Jan 2023
by Chase Brown
77 COMMENTS"
GEORGIA,The Buckeyes had No. 1 seed Georgia on the ropes but they were outscored 18-3 in the fourth quarter of a 42-41 defeat despite an elite performance from C.J. Stroud.,"01 Jan 2023
by Chris Lauderback
231 COMMENTS"
THREE KEY STATS FROM THE PEACH BOWL,"The six minutes and 55 seconds of pain for Ohio State, C.J. Stroud goes out a warrior, and Georgia was nothing if not efficient in the Peach Bowl.","01 Jan 2023
by 11W Staff
70 COMMENTS"
"“I LEFT MY HEART OUT ON THAT FIELD""","Marvin Harrison Jr. ""tried to fight"" to return to the game, OSU ""can't let up 42 points in a game like that"" and Steele Chambers would ""die for any one of those guys in the locker...","01 Jan 2023
by Griffin Strom
80 COMMENTS"
INEVITABLE,Ohio State lost a game against a big time opponent because they couldn't get a defensive stop at the end of the game. Stop me if you've heard this one before.,"01 Jan 2023
by Johnny Ginter
97 COMMENTS"
"MIYAN LIMITED, FAKE PUNT FOILED","Miyan Williams played only five snaps due to illness and injury, a last-second timeout foiled Ohio State’s fake punt run and Cade Stover went to the hospital with back spasms.","01 Jan 2023
by Dan Hope
30 COMMENTS"
DEFENSE FALLS SHORT AGAIN,"Ohio State’s defense failed to live up to expectations in both of the Buckeyes’ biggest games of the year, as they gave up 87 combined points to Michigan and Georgia.","01 Jan 2023
by Dan Hope
272 COMMENTS"
“(OSU) PLAYED WELL ENOUGH TO WIN”,Georgia head coach Kirby Smart had nothing but praise for Ohio State after the Buckeyes suffered a heartbreaking 42-41 loss to the Bulldogs in the College Football Playoff.,"01 Jan 2023
by Josh Poloha
58 COMMENTS"
MARV SUFFERS GAME-CHANGING CONCUSSION,"Marvin Harrison Jr. says he fought to return to action after suffering a hard hit to the head/neck in the third quarter Saturday, but respected trainers’ decision to hold him...","01 Jan 2023
by Griffin Strom
113 COMMENTS"
RYAN DAY REFLECTS ON CFP LOSS,"Ryan Day says he ""wouldn't change"" the run call on Ohio State's final drive and confirmed Marvin Harrison Jr. was in concussion protocol.","01 Jan 2023
by Garrick Hodge
219 COMMENTS"
BUCKEYES LOSE FOUR-QUARTER BATTLE,"Ohio State falls to Georgia, 42-41, despite leading for most of the game after giving up a game-winning touchdown with 54 seconds remaining.","01 Jan 2023
by Dan Hope
558 COMMENTS"
MARV SIDELINED AFTER SCARY HIT,Marvin Harrison Jr. might be done for the night after absorbing a heavy blow to the head/neck area late in the third quarter.,"31 Dec 2022
by Griffin Strom
54 COMMENTS"
"SPARKS FLY FOR STROUD, MARV IN FIRST HALF",C.J. Stroud and Marvin Harrison Jr. came ready to play in the CFP as sparks flew for Ohio State's offense in the first 30 minutes of the Peach Bowl.,"31 Dec 2022
by Chase Brown
9 COMMENTS"
HARRISON HAVING A DAY ... AGAIN,Marvin Harrison crosses the 100-yard mark early in the second quarter on his second touchdown catch of the first half against Georgia.,"31 Dec 2022
by Griffin Strom
15 COMMENTS"
STOVER LEAVES WITH INJURY,Ohio State tight end Cade Stover left Saturday's Peach Bowl with an injury after hurdling a defender late in the first quarter.,"31 Dec 2022
by Garrick Hodge
15 COMMENTS"
HAYDEN MAKES FIRST START IN PEACH BOWL,True freshman running back Dallan Hayden makes the first start of his career while Miyan Williams starts the Georgia game on the sideline.,"31 Dec 2022
by Griffin Strom
13 COMMENTS"
"MIYAN AND JONES AVAILABLE, SCOTT A GTD","Miyan Williams is available, Gee Scott Jr. will be a game-time decision and 11 Buckeyes have been ruled out of Ohio State's CFP semifinal at the Peach Bowl.","31 Dec 2022
by Griffin Strom
32 COMMENTS"
GEORGIA PREGAME PICKS,The Eleven Warriors staff provide their score predictions and some prop bets in advance of Ohio State's game against Maryland.,"31 Dec 2022
by 11W Staff
80 COMMENTS"
"""WE'RE GONNA SWING AS HARD AS WE CAN""","On ESPN's College GameDay, Ryan Day says the Buckeyes' CFP matchup with Georgia is ""the way we want it"" and believes ""it's gonna be a hard game.""","31 Dec 2022
by Chase Brown
43 COMMENTS"
CORSO PICKS BUCKEYES,"At the end of ESPN’s College GameDay, Lee Corso picked up Brutus headgear and picked the Buckeyes to upset Georgia in the Peach Bowl.","31 Dec 2022
by Garrick Hodge
43 COMMENTS"
OSU VS. TOP-RANKED POSTSEASON OPPONENTS,Georgia will be the fifth No. 1 team Ohio State has faced in the postseason. Today we take a look at how the Buckeyes performed in the previous four matchups.,"31 Dec 2022
by Matt Gutridge
9 COMMENTS"
THE PEACH BOWL,"We share our final thoughts, questions and players to watch entering the College Football Playoff matchup between Ohio State and Georgia in the Peach Bowl.","31 Dec 2022
by 11W Staff
71 COMMENTS"
GEORGIA,"It's the playoffs, come tell everyone what is going to happen.","30 Dec 2022
by Jared Naughton
84 COMMENTS"
WHAT OSU THINKS OF GEORGIA'S DEFENSE,"C.J. Stroud, Ryan Day, Kevin Wilson, Marvin Harrison Jr. and more Buckeyes broke down what they expect to see from Georgia's defense on Saturday.","30 Dec 2022
by Garrick Hodge
7 COMMENTS"
