game_id,school,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt,completions,attempts,completionPercentage,fourth_success,fourth_attempts,fourthEffpct,possession_min_temp,possession_sec_temp,possessionTime_sec,third_success,third_attempts,thirdDownEffpct,penalty_flags,penalty_yards,win_loss
401420796,South Carolina State,MEAC,home,38,14-24,,21.0,1-2,0.0,1.0,0.0,0.0,1.0,0.0,68.0,3.0,8.0,267.0,,1.0,3.0,29:22,0.0,13.0,1.0,,41.0,2.0,138.0,,,,6-13,2.0,6-55,405.0,1.0,11.1,3.4,14,24,0.5833333333333334,1,2,0.5,29,22,1762,6,13,0.46153846153846156,6,55,1
401420797,North Carolina Central,MEAC,home,28,20-32,,17.0,1-1,0.0,0.0,0.0,0.0,0.0,,,,4.0,200.0,,1.0,2.0,34:53,0.0,21.0,2.0,,33.0,2.0,69.0,,,,10-16,,8-64,269.0,0.0,6.3,2.1,20,32,0.625,1,1,1.0,34,53,2093,10,16,0.625,8,64,1
401420798,North Carolina Central,MEAC,home,41,17-27,,25.0,1-2,0.0,0.0,0.0,0.0,1.0,,,,5.0,259.0,,1.0,0.0,39:17,0.0,0.0,1.0,,43.0,6.0,260.0,,,,8-12,,8-80,519.0,1.0,9.6,6.0,17,27,0.6296296296296297,1,2,0.5,39,17,2357,8,12,0.6666666666666666,8,80,1
401420799,New Hampshire,CAA,home,27,26-45,,28.0,1-3,1.0,0.0,,,1.0,0.0,74.0,6.0,3.0,296.0,,,4.0,24:41,,,,,23.0,0.0,65.0,,,,4-8,1.0,4-31,361.0,2.0,6.6,2.8,26,45,0.5777777777777777,1,3,0.3333333333333333,24,41,1481,4,8,0.5,4,31,1
401420800,North Carolina Central,MEAC,home,59,15-23,,25.0,1-1,3.0,0.0,0.0,46.0,2.0,0.0,34.0,2.0,11.0,193.0,,3.0,4.0,26:50,0.0,19.0,3.0,,39.0,4.0,272.0,,,,5-9,,9-85,465.0,5.0,8.4,7.0,15,23,0.6521739130434783,1,1,1.0,26,50,1610,5,9,0.5555555555555556,9,85,1
401420801,Campbell,Big South,home,48,22-33,,33.0,0-1,0.0,0.0,0.0,31.0,0.0,0.0,7.0,1.0,12.0,248.0,,2.0,0.0,30:03,1.0,36.0,3.0,,50.0,5.0,315.0,,,,10-15,,5-28,563.0,0.0,7.5,6.3,22,33,0.6666666666666666,0,1,0.0,30,3,1803,10,15,0.6666666666666666,5,28,1
401420802,South Carolina State,MEAC,home,26,21-31,,21.0,0-1,1.0,0.0,0.0,11.0,0.0,0.0,106.0,5.0,2.0,264.0,,1.0,3.0,31:25,0.0,0.0,1.0,,35.0,1.0,122.0,,,,5-11,,8-60,386.0,1.0,8.5,3.5,21,31,0.6774193548387096,0,1,0.0,31,25,1885,5,11,0.45454545454545453,8,60,1
401420803,Delaware State,MEAC,home,21,19-28,,20.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,4.0,5.0,255.0,,2.0,2.0,30:06,0.0,10.0,3.0,,29.0,1.0,135.0,,,,4-11,1.0,6-40,390.0,0.0,9.1,4.7,19,28,0.6785714285714286,0,0,,30,6,1806,4,11,0.36363636363636365,6,40,0
401420804,North Carolina Central,MEAC,home,50,13-21,,20.0,1-1,0.0,0.0,0.0,40.0,0.0,0.0,85.0,4.0,9.0,281.0,,2.0,3.0,30:40,0.0,44.0,3.0,,44.0,3.0,216.0,,,,9-15,,7-78,497.0,0.0,13.4,4.9,13,21,0.6190476190476191,1,1,1.0,30,40,1840,9,15,0.6,7,78,1
401420805,Tennessee Tech,OVC,home,20,16-26,,18.0,2-4,1.0,1.0,0.0,1.0,1.0,0.0,18.0,1.0,2.0,189.0,,1.0,1.0,27:01,,,,,35.0,2.0,159.0,,,,4-12,1.0,7-52,348.0,2.0,7.3,4.5,16,26,0.6153846153846154,2,4,0.5,27,1,1621,4,12,0.3333333333333333,7,52,0
401420806,Central Arkansas,Atlantic Sun,home,14,18-31,,23.0,2-3,0.0,2.0,,,2.0,0.0,53.0,3.0,2.0,173.0,,,1.0,30:16,0.0,4.0,1.0,,41.0,1.0,168.0,,,,1-12,0.0,7-49,341.0,2.0,5.6,4.1,18,31,0.5806451612903226,2,3,0.6666666666666666,30,16,1816,1,12,0.08333333333333333,7,49,1
401420807,Missouri State,MVFC,home,35,19-24,,23.0,2-3,0.0,0.0,,,0.0,0.0,74.0,3.0,5.0,297.0,,,5.0,31:23,,,,,37.0,0.0,139.0,,,,6-11,1.0,8-100,436.0,0.0,12.4,3.8,19,24,0.7916666666666666,2,3,0.6666666666666666,31,23,1883,6,11,0.5454545454545454,8,100,0
