game_id,school,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401403859,Kentucky,SEC,home,37,21-32,1,20,0-1,0,2,,,1,1,121,2,13,303,4,,3,28:07,0,25,2,1,26,0,50,3,30,4,2-8,0,4-30,353,1,9.5,1.9
401403859,Miami (OH),Mid-American,away,13,22-32,0,17,3-4,1,0,0,5,0,,,,7,179,1,1,0,31:53,,,,2,32,1,111,4,23,4,3-14,2,7-45,290,1,5.6,3.5
401403860,Ole Miss,SEC,home,28,19-29,0,24,1-1,2,2,0,10,1,0,13,1,4,167,2,1,1,23:02,,,,5,44,3,266,4,51,10,9-14,4,3-16,433,3,5.8,6.0
401403860,Troy,Sun Belt,away,10,35-48,0,20,2-5,1,3,0,0,1,,,,4,286,2,1,1,36:58,,,,2,33,0,60,0,46,2,6-17,2,6-37,346,2,6.0,1.8
401403861,Memphis,American Athletic,away,23,19-30,0,13,0-1,1,2,0,0,0,0,117,6,5,165,2,1,1,18:49,0,19,1,1,21,2,129,1,40,3,3-12,1,8-44,294,1,5.5,6.1
401403861,Mississippi State,SEC,home,49,38-49,0,34,0-0,1,2,,,1,0,37,2,7,450,4,,5,41:11,0,5,2,1,34,2,97,1,27,4,11-13,1,5-55,547,2,9.2,2.9
401403863,Georgia State,Sun Belt,away,14,7-29,0,14,1-3,0,0,0,5,1,0,0,1,2,111,4,2,1,24:44,,,,6,40,1,200,3,50,7,5-17,,8-75,311,1,3.8,5.0
401403863,South Carolina,SEC,home,35,23-37,2,19,2-2,0,0,0,3,2,,,,7,227,9,1,1,35:16,2,98,7,6,32,1,79,0,41,6,3-14,,5-70,306,2,6.1,2.5
401403864,Ball State,Mid-American,away,10,27-43,0,17,0-2,1,1,,,2,0,78,4,4,269,2,,1,30:05,,,,0,27,0,74,1,45,2,5-14,1,12-83,343,3,6.3,2.7
401403864,Tennessee,SEC,home,59,27-35,0,32,3-3,1,0,0,5,0,0,16,2,11,351,5,2,3,29:55,,,,7,51,5,218,0,30,2,5-13,4,6-48,569,1,10.0,4.3
401403865,Sam Houston State,Western Athletic,away,0,14-28,0,10,1-1,1,0,0,41,1,,,,,91,1,2,0,27:37,,,,3,27,0,107,0,33,6,1-12,1,7-70,198,2,3.3,4.0
401403865,Texas A&M,SEC,home,31,23-35,0,23,0-0,0,1,0,13,2,0,24,1,7,387,4,1,3,32:23,0,19,4,6,32,1,110,3,26,6,7-13,0,6-55,497,2,11.1,3.4
401403866,Elon,CAA,away,31,20-34,0,23,0-2,1,0,,,0,0,41,2,7,343,3,,2,34:29,0,71,5,2,42,2,152,0,31,3,4-15,1,6-54,495,1,10.1,3.6
401403866,Vanderbilt,SEC,home,42,18-29,0,17,0-1,0,2,,,0,,,,6,245,3,,4,25:27,0,2,2,3,33,2,179,1,43,5,5-13,2,7-54,424,0,8.4,5.4
401403867,Florida State,ACC,home,24,20-33,0,23,0-1,1,2,,,0,0,45,2,6,260,2,,2,34:06,0,0,1,0,38,1,132,4,49,6,11-17,,6-65,392,1,7.9,3.5
401403867,LSU,SEC,away,23,25-35,0,25,2-2,2,1,,,0,0,31,2,5,209,3,,2,25:54,0,0,2,0,30,1,139,2,50,4,5-11,,3-30,348,2,6.0,4.6
401403868,Alabama,SEC,away,20,27-39,0,16,1-2,0,0,,,0,0,36,2,8,213,3,,1,29:16,0,-3,2,1,24,1,161,3,43,7,5-15,,15-100,374,0,5.5,6.7
401403868,Texas,Big 12,home,19,23-34,0,25,0-0,0,0,,,0,0,39,2,13,292,1,,0,30:44,0,10,3,7,33,1,79,2,33,6,3-12,,5-30,371,0,8.6,2.4
401403869,Arkansas,SEC,home,44,18-21,0,28,2-3,0,2,0,0,0,0,34,1,6,162,3,1,1,34:37,0,13,1,6,65,5,295,6,35,9,9-16,0,10-122,457,0,7.7,4.5
401403869,South Carolina,SEC,away,30,24-39,0,22,1-2,2,0,,,1,0,55,2,4,376,2,,1,25:23,,,,1,29,3,40,2,41,4,3-10,5,5-41,416,3,9.6,1.4
401403870,Auburn,SEC,home,24,14-23,0,18,2-2,0,0,,,2,0,3,2,6,168,4,,0,26:39,0,22,1,6,38,3,210,3,42,6,4-11,3,9-85,378,2,7.3,5.5
401403870,San José State,Mountain West,away,16,24-40,0,21,0-0,0,0,0,0,0,0,15,1,10,275,3,2,0,33:21,,,,0,29,1,54,1,34,4,4-13,,7-32,329,0,6.9,1.9
401403871,Florida,SEC,home,16,14-35,0,12,1-3,0,0,0,0,2,0,70,4,6,143,2,1,0,26:36,0,1,2,7,30,1,136,3,31,6,4-16,1,3-28,279,2,4.1,4.5
401403871,Kentucky,SEC,away,26,13-24,1,17,0-1,0,0,1,83,1,,,,8,202,5,2,1,33:24,0,8,2,3,38,1,70,1,24,3,4-13,1,2-10,272,1,8.4,1.8
401403872,Georgia,SEC,home,33,29-43,0,25,0-0,0,1,,,0,,,,15,352,4,,1,40:03,0,32,2,0,32,2,127,1,26,5,5-13,1,4-25,479,0,8.2,4.0
401403872,Samford,Southern,away,0,16-26,0,3,0-1,1,0,,,0,,,,,109,5,,0,19:57,,,,0,17,0,19,1,40,2,1-13,2,5-36,128,1,4.2,1.1
401403873,LSU,SEC,home,65,23-34,1,23,0-1,0,8,1,29,2,0,18,1,9,320,4,1,3,31:14,0,52,2,0,36,5,230,3,30,4,7-12,0,6-40,550,2,9.4,6.4
401403873,Southern,SWAC,away,17,9-17,1,15,0-0,4,0,1,106,1,0,105,5,5,61,3,2,0,28:52,,,,0,42,1,201,2,33,6,2-10,4,2-8,262,5,3.6,4.8
401403874,Central Arkansas,Atlantic Sun,away,3,14-31,0,12,1-5,2,0,0,2,2,0,24,2,3,131,4,1,0,36:16,0,19,3,3,40,0,102,1,41,3,4-18,4,8-68,233,4,4.2,2.6
