collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,location,nickname,displayName,logo,img,link,playerId,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4367209,105970,26,UCLA,Pac-12,Denver,2022,80,3,16,Greg Dulcich,Tight End,76.0,243.0,69.0,2.0,79.0,Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,denver_broncos,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/denver_broncos.png,4367209.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,42.0,5.0,725.0,17.3,,,,,
4240707,105933,221,Pittsburgh,ACC,Denver,2022,115,4,10,Damarri Mathis,Cornerback,71.0,196.0,149.0,18.0,61.0,Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,denver_broncos,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/denver_broncos.png,4240707.0,5.0,0.0,0.0,32.0,1.0,0.0,43.0,,,,25.0,2.0,1.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066109,105643,66,Iowa State,Big 12,Denver,2022,116,4,11,Eyioma Uwazurike,Defensive End,78.0,316.0,90.0,11.0,74.0,Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,denver_broncos,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/denver_broncos.png,4066109.0,1.0,6.0,9.0,16.0,0.0,12.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4360287,106075,201,Oklahoma,Big 12,Denver,2022,152,5,9,Delarrin Turner-Yell,Safety,70.0,197.0,253.0,20.0,45.0,Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,denver_broncos,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/denver_broncos.png,4360287.0,1.0,0.0,0.0,36.0,0.0,2.5,53.0,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4248822,106246,2535,Samford,Southern,Denver,2022,162,5,19,Montrell Washington,Wide Receiver,70.0,170.0,,,,Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,denver_broncos,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/denver_broncos.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4039018,106084,264,Washington,Pac-12,Denver,2022,171,5,28,Luke Wattenberg,Center,76.0,299.0,279.0,10.0,42.0,Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,denver_broncos,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/denver_broncos.png,4039018.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242358,105900,275,Wisconsin,Big Ten,Denver,2022,206,6,28,Matt Henningsen,Defensive Tackle,75.0,289.0,269.0,18.0,43.0,Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,denver_broncos,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/denver_broncos.png,4242358.0,1.0,0.0,3.5,14.0,0.0,6.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242333,106257,275,Wisconsin,Big Ten,Denver,2022,232,7,11,Faion Hicks,Cornerback,70.0,192.0,,,,Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,denver_broncos,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/denver_broncos.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429568,105606,344,Mississippi State,SEC,Cleveland,2022,68,3,4,Martin Emerson,Cornerback,74.0,201.0,112.0,16.0,70.0,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,4429568.0,3.0,0.0,0.0,31.0,0.0,3.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4570119,106127,5,UAB,Conference USA,Cleveland,2022,78,3,14,Alex Wright,Defensive End,77.0,271.0,100.0,7.0,71.0,Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,cleveland_browns,/Users/wesjurden/Documents/GitHub/Personal/college-football-project/assets/nfl_teams/cleveland_browns.png,4570119.0,3.0,9.0,6.0,23.0,0.0,7.5,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
